,region,surface_area
0,Caribbean,193.0
1,Southern and Central Asia,652090.0
2,Central Africa,1246700.0
3,Caribbean,96.0
4,Southern Europe,28748.0
5,Southern Europe,468.0
6,Caribbean,800.0
7,Middle East,83600.0
8,South America,2780400.0
9,Middle East,29800.0
10,Polynesia,199.0
11,Antarctica,13120000.0
12,Antarctica,7780.0
13,Caribbean,442.0
14,Australia and New Zealand,7741220.0
15,Western Europe,83859.0
16,Middle East,86600.0
17,Eastern Africa,27834.0
18,Western Europe,30518.0
19,Western Africa,112622.0
20,Western Africa,274000.0
21,Southern and Central Asia,143998.0
22,Eastern Europe,110994.0
23,Middle East,694.0
24,Caribbean,13878.0
25,Southern Europe,51197.0
26,Eastern Europe,207600.0
27,Central America,22696.0
28,North America,53.0
29,South America,1098581.0
30,South America,8547403.0
31,Caribbean,430.0
32,Southeast Asia,5765.0
33,Southern and Central Asia,47000.0
34,Antarctica,59.0
35,Southern Africa,581730.0
36,Central Africa,622984.0
37,North America,9970610.0
38,Australia and New Zealand,14.0
39,Western Europe,41284.0
40,South America,756626.0
41,Eastern Asia,9572900.0
42,Western Africa,322463.0
43,Central Africa,475442.0
44,Central Africa,2344858.0
45,Central Africa,342000.0
46,Polynesia,236.0
47,South America,1138914.0
48,Eastern Africa,1862.0
49,Western Africa,4033.0
50,Central America,51100.0
51,Caribbean,110861.0
52,Australia and New Zealand,135.0
53,Caribbean,264.0
54,Middle East,9251.0
55,Eastern Europe,78866.0
56,Western Europe,357022.0
57,Eastern Africa,23200.0
58,Caribbean,751.0
59,Nordic Countries,43094.0
60,Caribbean,48511.0
61,Northern Africa,2381741.0
62,South America,283561.0
63,Northern Africa,1001449.0
64,Eastern Africa,117600.0
65,Northern Africa,266000.0
66,Southern Europe,505992.0
67,Baltic Countries,45227.0
68,Eastern Africa,1104300.0
69,Nordic Countries,338145.0
70,Melanesia,18274.0
71,South America,12173.0
72,Western Europe,551500.0
73,Nordic Countries,1399.0
74,Micronesia,702.0
75,Central Africa,267668.0
76,British Islands,242900.0
77,Middle East,69700.0
78,Western Africa,238533.0
79,Southern Europe,6.0
80,Western Africa,245857.0
81,Caribbean,1705.0
82,Western Africa,11295.0
83,Western Africa,36125.0
84,Central Africa,28051.0
85,Southern Europe,131626.0
86,Caribbean,344.0
87,North America,2166090.0
88,Central America,108889.0
89,South America,90000.0
90,Micronesia,549.0
91,South America,214969.0
92,Eastern Asia,1075.0
93,Antarctica,359.0
94,Central America,112088.0
95,Southern Europe,56538.0
96,Caribbean,27750.0
97,Eastern Europe,93030.0
98,Southeast Asia,1904569.0
99,Southern and Central Asia,3287263.0
100,Eastern Africa,78.0
101,British Islands,70273.0
102,Southern and Central Asia,1648195.0
103,Middle East,438317.0
104,Nordic Countries,103000.0
105,Middle East,21056.0
106,Southern Europe,301316.0
107,Caribbean,10990.0
108,Middle East,88946.0
109,Eastern Asia,377829.0
110,Southern and Central Asia,2724900.0
111,Eastern Africa,580367.0
112,Southern and Central Asia,199900.0
113,Southeast Asia,181035.0
114,Micronesia,726.0
115,Caribbean,261.0
116,Eastern Asia,99434.0
117,Middle East,17818.0
118,Southeast Asia,236800.0
119,Middle East,10400.0
120,Western Africa,111369.0
121,Northern Africa,1759540.0
122,Caribbean,622.0
123,Western Europe,160.0
124,Southern and Central Asia,65610.0
125,Southern Africa,30355.0
126,Baltic Countries,65301.0
127,Western Europe,2586.0
128,Baltic Countries,64589.0
129,Eastern Asia,18.0
130,Northern Africa,446550.0
131,Western Europe,1.5
132,Eastern Europe,33851.0
133,Eastern Africa,587041.0
134,Southern and Central Asia,298.0
135,Central America,1958201.0
136,Micronesia,181.0
137,Southern Europe,25713.0
138,Western Africa,1240192.0
139,Southern Europe,316.0
140,Southeast Asia,676578.0
141,Eastern Asia,1566500.0
142,Micronesia,464.0
143,Eastern Africa,801590.0
144,Western Africa,1025520.0
145,Caribbean,102.0
146,Caribbean,1102.0
147,Eastern Africa,2040.0
148,Eastern Africa,118484.0
149,Southeast Asia,329758.0
150,Eastern Africa,373.0
151,Southern Africa,824292.0
152,Melanesia,18575.0
153,Western Africa,1267000.0
154,Australia and New Zealand,36.0
155,Western Africa,923768.0
156,Central America,130000.0
157,Polynesia,260.0
158,Western Europe,41526.0
159,Nordic Countries,323877.0
160,Southern and Central Asia,147181.0
161,Micronesia,21.0
162,Australia and New Zealand,270534.0
163,Middle East,309500.0
164,Southern and Central Asia,796095.0
165,Central America,75517.0
166,Polynesia,49.0
167,South America,1285216.0
168,Southeast Asia,300000.0
169,Micronesia,459.0
170,Melanesia,462840.0
171,Eastern Europe,323250.0
172,Caribbean,8875.0
173,Eastern Asia,120538.0
174,Southern Europe,91982.0
175,South America,406752.0
176,Middle East,6257.0
177,Polynesia,4000.0
178,Middle East,11000.0
179,Eastern Africa,2510.0
180,Eastern Europe,238391.0
181,Eastern Europe,17075400.0
182,Eastern Africa,26338.0
